table_id,Line,Termini,Length,Type,Maximum speed,Opening,Status,country,Length_clean,Length_km,Opening_year
11,Polatl?–?zmir,Polatl?–Alsancak,505 km (314 mi),New,250 km/h (160 mph),2027,Under construction,Turkey,505 km (314 mi),505,2027
11,Yerköy–Kayseri railway (in Turkish),Yerköy–Kayseri,142 km (88 mi),New,250 km/h (160 mph),2028,Under construction,Turkey,142 km (88 mi),142,2028
11,K?r?kkale–Çorum–Samsun[46],K?r?kkale Delice–Samsun,293 km (182 mi),New,250 km/h (160 mph),2028,Under construction,Turkey,293 km (182 mi),293,2028
11,Sivas-Zara line (in Turkish),Sivas-Zara,74 km (46 mi),New,250 km/h (160 mph),2028,Under construction,Turkey,74 km (46 mi),74,2028
12,Tashkent–Bukhara,Tashkent–Bukhara,600 km (370 mi),New,250 km/h (160 mph),2011,Operational,Uzbekistan,600 km (370 mi),600,2011
12,Bhukhara–Khiva,Bukhara-Khiva,465 km (289 mi),New,250 km/h (160 mph),2030,Under Construction,Uzbekistan,465 km (289 mi),465,2030
13,Western Railway,Vienna–Salzburg,243 km (151 mi)[bv],Upgraded,230 km/h (140 mph),1990–2018,Operational,Austria,243 km (151 mi)[bv],243,1990
13,New Lower Inn Valley Railway,Kundl–Baumkirchen,40.2 km (25.0 mi),New,220 km/h (140 mph),2012,Operational,Austria,40.2 km (25.0 mi),40.2,2012
13,New Lower Inn Valley Railway,Brannenburg-Kundl,25 km (16 mi),New,250 km/h (160 mph),TBD,Under construction,Austria,25 km (16 mi),25,
13,Koralm Railway,Graz–Klagenfurt,127 km (79 mi),New,250 km/h (160 mph),2025,Operational,Austria,127 km (79 mi),127,2025
13,Marchegger eastern railway [de],Vienna–Slovenia border,38 km (24 mi),Upgraded,200 km/h (120 mph),2026,Undergoing upgrade,Austria,38 km (24 mi),38,2026
