"","table_id","Line","Termini","Length","Type","Maximum speed","Opening","Status","country"
"120","18","Riihimäki–Saint Petersburg railway","Riihimäki–Russian border","120 km (75 mi)[cc]","Upgraded","200 km/h (120 mph)","2010[cd]-2013[ce]","Operational","Finland"
"121","18","Helsinki–Turku high-speed railway","?","?","New?","300 km/h (190 mph)","2031","Approved","Finland"
"122","19","Orléans–Montauban railway","Orléans–Vierzon","70.399 km (43.744 mi)[52]","Upgraded","200 km/h (120 mph)","1967[cf]","Operational","France"
"123","19","Paris–Bordeaux railway","Paris-Austerlitz–Bordeaux-Saint-Jean","331.08 km (205.72 mi)[53]","Upgraded","220 km/h (140 mph)","1973","Operational","France"
"124","19","LGV Sud-Est","Paris Gare de Lyon, Paris–Gare de la Part-Dieu, Lyon","409 km (254 mi)","New","300 km/h (190 mph)","1981[cg]-1983[ch]","Operational","France"
"125","19","LGV Atlantique","Gare Montparnasse, Paris–Le Mans/Tours","284 km (176 mi)","New","300 km/h (190 mph)","1989","Operational","France"
"126","19","Mantes-la-Jolie–Cherbourg railway","Mantes–Cherbourg","85.267 km (52.982 mi)[54]","Upgraded","200 km/h (120 mph)","1989","Operational","France"
"127","19","Paris–Brest railway","Paris-Montparnasse–Brest","47.8 km (29.7 mi)[ci]","Upgraded","220 km/h (140 mph)[55]","1989[cj]","Operational","France"
"128","19","Strasbourg–Basel railway","Strasbourg–Basel[ck]","141.3 km (87.8 mi)[56]","Upgraded","220 km/h (140 mph)","1990","Operational","France"
"129","19","Le Mans–Angers railway","Le Mans–Angers-Saint-Laud","73.8 km (45.9 mi)[57]","Upgraded","220 km/h (140 mph)","Unknown","Operational","France"
"130","19","Tours–Saint-Nazaire railway","Tours–Nantes","80.6 km (50.1 mi)[58]","Upgraded","220 km/h (140 mph)","Unknown","Operational","France"
"131","19","Savenay–Landerneau railway","Savenay–Quimper","42 km (26 mi)[59]","Upgraded","220 km/h (140 mph)","Unknown[cl]","Operational","France"
"132","19","LGV Rhône-Alpes","Lyon-Saint-Exupéry–Valence","115 km (71 mi)","New","300 km/h (190 mph)","1992","Operational","France"
"133","19","LGV Nord","Channel Tunnel–Gare du Nord, Paris","333 km (207 mi)","New","300 km/h (190 mph)","1993","Operational","France"
"134","19","LGV Interconnexion Est","Aéroport Charles de Gaulle, Paris–Marne-la-Vallée–Chessy, Paris","90 km (56 mi)","New","270 km/h (170 mph)[60]","1994","Operational","France"
"135","19","LGV Méditerranée","Avignon–Marseille-Saint-Charles","216 km (134 mi)","New","320 km/h (200 mph)","2001","Operational","France"
"136","19","LGV Est","Gare de l'Est, Paris–Lorraine, Louvigny","406 km (252 mi)","New","320 km/h (200 mph)","2007[cm]-2016[cn]","Operational","France"
"137","19","LGV Rhin-Rhône","Besançon Franche-Comté, Les Auxons–Belfort – Montbéliard, Paris","140 km (87 mi)","New","320 km/h (200 mph)","2011","Operational","France"
"138","19","Perpignan–Barcelona HSR","Montpellier Sud–Perthus Tunnel","17.1 km (10.6 mi)","New","300 km/h (190 mph)","2013","Operational","France"
"139","19","LGV Sud Europe Atlantique","Poitiers–Bordeaux-Saint-Jean","340 km (210 mi)","New","320 km/h (200 mph)","2017","Operational","France"
"140","19","LGV Bretagne-Pays de la Loire","Sablé-sur-Sarthe–Rennes","214 km (133 mi)","New","320 km/h (200 mph)","2017","Operational","France"
"141","19","Contournement Nîmes – Montpellier","Nîmes-Pont-du-Gard–Montpellier Sud","80 km (50 mi)","New","220 km/h (140 mph)","2018","Operational","France"
"142","19","Lyon–Turin HSR","Lyon-Saint-Exupéry–Mont d'Ambin Base Tunnel","150 km (93 mi)","New","220 km/h (140 mph)","2032","Under construction","France"
"143","19","LGV Bordeaux–Toulouse","Bordeaux-Saint-Jean–Toulouse","222 km (138 mi)","New","320 km/h (200 mph)","2032","Under construction","France"
"144","20","Berlin–Hamburg Railway","Berlin–Hamburg","284.1 km (176.5 mi)","Upgraded","230 km/h (140 mph)","1931","Operational","Germany"
"145","20","Wanne-Eickel–Hamburg railway","Hamburg–Wanne-Eickel","355 km (221 mi)","Upgraded","200 km/h (120 mph)","1978","Operational","Germany"
"146","20","Augsburg–Nördlingen railway","Augsburg-Donauwörth","36.5 km (22.7 mi)","Upgraded","200 km/h (120 mph)","1978-1981","Operational","Germany"
"147","20","Cologne–Duisburg railway","Cologne–Duisburg","64 km (40 mi)","Upgraded","200 km/h (120 mph)","1980s","Operational","Germany"
"148","20","Hamm–Minden railway","Hamm–Minden","112 km (70 mi)","Upgraded","200 km/h (120 mph)","1980","Operational","Germany"
"149","20","Würzburg–Aschaffenburg railway","Würzburg–Aschaffenburg","89.3 km (55.5 mi)","Upgraded","200 km/h (120 mph)","1982","Operational","Germany"
"150","20","Hanover–Minden railway","Hannover–Minden","64.4 km (40.0 mi)","Upgraded","200 km/h (120 mph)","1984","Operational","Germany"
"151","20","Dortmund–Hamm railway","Dortmund–Hamm","31 km (19 mi)","Upgraded","200 km/h (120 mph)","1986","Operational","Germany"
"152","20","Hanover–Hamburg railway","Hannover–Hamburg","355.3 km (220.8 mi)","Upgraded","200 km/h (120 mph)","1987","Operational","Germany"
"153","20","Waghäusel Saalbach–Graben-Neudorf railway","NA (Connecting link)","7.94 km (4.93 mi)","Upgraded","200 km/h (120 mph)","1988","Operational","Germany"
"154","20","Hanover–Würzburg","Hanover–Würzburg","327 km (203 mi)","New","250 km/h (160 mph)[co]","1991","Operational","Germany"
"155","20","Mannheim–Stuttgart","Mannheim–Stuttgart","99 km (62 mi)","New","250 km/h (160 mph)[cp]","1991","Operational","Germany"
"156","20","Rhine Railway","Mannheim–Rastatt","99 km (62 mi)","Upgraded","200 km/h (120 mph)","1991","Operational","Germany"
"157","20","Ulm–Augsburg railway (old line)","Augsburg-Oberhausen–Dinkelscherben","25.8 km (16.0 mi)","Upgraded","200 km/h (120 mph)","1992","Operational","Germany"
"158","20","Frankfurt–Göttingen railway","Hanau–Hailer-Meerholz","19 km (12 mi)[cq]","Upgraded","200 km/h (120 mph)[cr]","1993","Operational","Germany"
"159","20","Hanover–Berlin","Hannover–Berlin","258 km (160 mi)","New","280 km/h (170 mph)[cs]","1998","Operational","Germany"
"160","20","Nuremberg–Würzburg railway","Nuremberg–Würzburg","102.2 km (63.5 mi)","Upgraded","200 km/h (120 mph)","1999","Operational","Germany"
"161","20","Mannheim–Frankfurt railway","Mannheim–Frankfurt","74.8 km (46.5 mi)","Upgraded","200 km/h (120 mph)","1999","Operational","Germany"
"162","20","Cologne–Frankfurt","Cologne–Frankfurt","180 km (110 mi)","New","300 km/h (190 mph)","2002","Operational","Germany"
"163","20","Cologne–Aachen","Cologne–Düren","39.2 km (24.4 mi)","Upgraded","250 km/h (160 mph)","2002","Operational","Germany"
"164","20","Cologne–Aachen","Düren-Eschweiler Hbf","17.7 km (11.0 mi)","Upgraded","200 km/h (120 mph)","2030","Undergoing upgrade","Germany"
"165","20","Berlin–Halle railway","Berlin–Halle","161.6 km (100.4 mi)","Upgraded","200 km/h (120 mph)","2006","Operational","Germany"
"166","20","Trebnitz–Leipzig railway","Bk–Leipzig","81.2 km (50.5 mi)","Upgraded","200 km/h (120 mph)","2006","Operational","Germany"
"167","20","Nuremberg–Ingolstadt","Nuremberg–Ingolstadt","77.5 km (48.2 mi)","New","300 km/h (190 mph)","2006–2013","Operational","Germany"
"168","20","Hamm–Warburg railway","Hamm–Warburg","131 km (81 mi)","Upgraded","200 km/h (120 mph)","2007","Operational","Germany"
"169","20","Munich–Augsburg railway","Munich–Augsburg","61.9 km (38.5 mi)","Upgraded","230 km/h (140 mph)","2011[ct]","Operational","Germany"
"170","20","Leipzig–Dresden railway","Leipzig–Riesa","60 km (37 mi)[cu]","Upgraded","200 km/h (120 mph)","2014","Operational","Germany"
"171","20","Leipzig–Dresden railway","Dresden–Riesa","54 km (34 mi)[cv]","Upgraded","200 km/h (120 mph)","2030[61]","Undergoing upgrade","Germany"
"172","20","Erfurt–Leipzig/Halle","Erfurt–Leipzig/Halle","123 km (76 mi)","New","300 km/h (190 mph)","2015","Operational","Germany"
"173","20","Nuremberg–Erfurt","Ebensfeld–Erfurt","107 km (66 mi)","New","300 km/h (190 mph)","2017","Operational","Germany"
"174","20","Nuremberg–Erfurt","Ebensfeld–Eltersdorf","83 km (52 mi)","Upgraded","230 km/h (140 mph)","2030","Undergoing upgrade[61]","Germany"
"175","20","Wendlingen–Ulm","Wendlingen–Ulm","59.5 km (37.0 mi)","New","250 km/h (160 mph)","2022","Operational","Germany"
"176","20","Stuttgart–Wendlingen","Stuttgart–Wendlingen","25 km (16 mi)","New","250 km/h (160 mph)","2026","Under construction","Germany"
"177","20","Mannheim–Saarbrücken railway","St. Ingbert–Ludwigshafen","82 km (51 mi)","Upgraded","200 km/h (120 mph)","2028[61]","Undergoing upgrade","Germany"
"178","20","Lübeck–Puttgarden railway","Lübeck–Puttgarden","88.6 km (55.1 mi)","Partly new","200 km/h (120 mph)","2030[61]","Undergoing upgrade","Germany"
"179","20","Berlin–Dresden railway","Berlin Südkreuz–Dresden HBF","174.2 km (108.2 mi)","Upgraded","230 km/h (140 mph)","2030[61]","Undergoing upgrade","Germany"
"180","20","Karlsruhe–Basel","Karlsruhe–Basel","182 km (113 mi)","New","250 km/h (160 mph)","2031","Under construction","Germany"
"181","21","P.A.Th.E./P.","Bulgarian border[cw]–Thessaloniki–Larissa–Athens–Corinth–Patras","160 km (99 mi)[cx]","Partly new","200 km/h (120 mph)","2022","Mostly operational","Greece"
"182","22","Florence–Rome","Firenze Santa Maria Novella, Florence–Roma Termini","254 km (158 mi)","New","250 km/h (160 mph)","1992","Operational","Italy"
"183","22","Turin–Milan","Torino Porta Susa, Turin–Milano Centrale","148.3 km (92.1 mi)","New","300 km/h (190 mph)","2006","Operational","Italy"
"184","22","Milan–Venice railway","Padua–Venice","25 km (16 mi)[cy]","Upgraded","220 km/h (140 mph)","2007","Operational","Italy"
"185","22","Milan–Venice railway","Treviglio-Brescia","39.6 km (24.6 mi)[cz]","New","250 km/h (160 mph)","2016","Operational","Italy"
"186","22","Milan–Venice railway","Brescia - Verona","45.4 km (28.2 mi)","New","250 km/h (160 mph)","2026","Under construction","Italy"
"187","22","Milan–Venice railway","Verona-Padua","80 km (50 mi)","New","250 km/h (160 mph)","2029-2032","Under construction","Italy"
"188","22","Milan–Bologna","Milano Centrale–Bologna Centrale","214.6 km (133.3 mi)","New","300 km/h (190 mph)","2008","Operational","Italy"
"189","22","Naples–Salerno","Napoli Afragola–Salerno","29 km (18 mi)","New","250 km/h (160 mph)","2008","Operational","Italy"
