"","name","round1","round2","round3","round4","round5","round6","year","seed","team.id","TEAM.NO"
"208","Georgia Tech",0.482,0.054,0.024,0.011,0.004,0.002,2021,NA,NA,NA
"209","Gonzaga",0.975,0.918,0.829,0.672,0.536,0.37,2021,NA,NA,NA
"210","Grand Canyon",0.054,0.023,0.011,0.004,0.002,0.001,2021,NA,NA,NA
"211","Hartford",0.032,0.015,0.008,0.005,0.002,0.001,2021,NA,NA,NA
"212","Houston",0.95,0.79,0.481,0.154,0.071,0.025,2021,NA,NA,NA
"213","Illinois",0.965,0.864,0.69,0.539,0.306,0.149,2021,NA,NA,NA
"214","Iona",0.06,0.024,0.011,0.004,0.002,0.001,2021,NA,NA,NA
"215","Iowa",0.947,0.795,0.54,0.14,0.076,0.034,2021,NA,NA,NA
"216","Kansas",0.929,0.682,0.283,0.071,0.036,0.017,2021,NA,NA,NA
"217","Liberty",0.14,0.053,0.011,0.004,0.002,0.001,2021,NA,NA,NA
"218","Loyola Chicago",0.518,0.065,0.033,0.014,0.005,0.003,2021,NA,NA,NA
"219","LSU",0.68,0.118,0.057,0.021,0.006,0.003,2021,NA,NA,NA
"220","Maryland",0.439,0.085,0.029,0.008,0.003,0.001,2021,NA,NA,NA
"221","Michigan",0.972,0.828,0.636,0.419,0.141,0.081,2021,NA,NA,NA
"222","Missouri",0.389,0.029,0.014,0.006,0.003,0.002,2021,NA,NA,NA
"223","Morehead State",0.076,0.024,0.008,0.003,0.001,0.001,2021,NA,NA,NA
"224","MSM/Texas Southern",0.028,0.013,0.007,0.005,0.002,0.001,2021,NA,NA,NA
"225","Michigan State/UCLA",0.342,0.084,0.027,0.01,0.004,0.003,2021,NA,NA,NA
"226","NORF/APP",0.025,0.012,0.007,0.005,0.003,0.001,2021,NA,NA,NA
"227","UNC",0.547,0.094,0.055,0.028,0.015,0.008,2021,NA,NA,NA
"228","North Texas",0.11,0.033,0.008,0.003,0.001,0.001,2021,NA,NA,NA
"229","Ohio",0.193,0.078,0.009,0.004,0.002,0.001,2021,NA,NA,NA
