"","BracketID","TotalPoints","Model","Year"
"695",95,35,"Logistic",2022
"696",96,30,"Logistic",2022
"697",97,37,"Logistic",2022
"698",98,32,"Logistic",2022
"699",99,26,"Logistic",2022
"700",100,39,"Logistic",2022
"701",1,39,"XGBoost",2022
"702",2,38,"XGBoost",2022
"703",3,37,"XGBoost",2022
"704",4,35,"XGBoost",2022
"705",5,38,"XGBoost",2022
"706",6,36,"XGBoost",2022
"707",7,34,"XGBoost",2022
"708",8,34,"XGBoost",2022
"709",9,38,"XGBoost",2022
"710",10,44,"XGBoost",2022
"711",11,35,"XGBoost",2022
"712",12,30,"XGBoost",2022
"713",13,34,"XGBoost",2022
"714",14,54,"XGBoost",2022
"715",15,37,"XGBoost",2022
"716",16,35,"XGBoost",2022
"717",17,37,"XGBoost",2022
"718",18,44,"XGBoost",2022
"719",19,33,"XGBoost",2022
"720",20,32,"XGBoost",2022
"721",21,33,"XGBoost",2022
"722",22,37,"XGBoost",2022
"723",23,36,"XGBoost",2022
"724",24,31,"XGBoost",2022
"725",25,38,"XGBoost",2022
"726",26,47,"XGBoost",2022
"727",27,28,"XGBoost",2022
"728",28,29,"XGBoost",2022
"729",29,30,"XGBoost",2022
"730",30,37,"XGBoost",2022
"731",31,37,"XGBoost",2022
"732",32,36,"XGBoost",2022
"733",33,29,"XGBoost",2022
"734",34,30,"XGBoost",2022
"735",35,30,"XGBoost",2022
"736",36,42,"XGBoost",2022
"737",37,43,"XGBoost",2022
"738",38,39,"XGBoost",2022
"739",39,33,"XGBoost",2022
"740",40,29,"XGBoost",2022
"741",41,36,"XGBoost",2022
"742",42,37,"XGBoost",2022
"743",43,35,"XGBoost",2022
"744",44,49,"XGBoost",2022
"745",45,36,"XGBoost",2022
"746",46,33,"XGBoost",2022
"747",47,42,"XGBoost",2022
"748",48,36,"XGBoost",2022
"749",49,29,"XGBoost",2022
"750",50,26,"XGBoost",2022
"751",51,36,"XGBoost",2022
"752",52,31,"XGBoost",2022
"753",53,32,"XGBoost",2022
"754",54,43,"XGBoost",2022
"755",55,36,"XGBoost",2022
"756",56,49,"XGBoost",2022
"757",57,35,"XGBoost",2022
"758",58,31,"XGBoost",2022
"759",59,40,"XGBoost",2022
"760",60,40,"XGBoost",2022
"761",61,33,"XGBoost",2022
"762",62,32,"XGBoost",2022
"763",63,37,"XGBoost",2022
"764",64,32,"XGBoost",2022
"765",65,41,"XGBoost",2022
"766",66,28,"XGBoost",2022
"767",67,47,"XGBoost",2022
"768",68,30,"XGBoost",2022
"769",69,40,"XGBoost",2022
"770",70,27,"XGBoost",2022
"771",71,38,"XGBoost",2022
"772",72,44,"XGBoost",2022
